name,build_time
t2_c1_6r8s3o,0.696502
t2_c1_6r8s5o,0.860203
t2_c1_7r4s6o,0.890230
t2_c1_8r2s7o,0.914398
t2_c1_8r4s7o,0.927475
t2_c1_8r8s7o,1.309639
t2_c1_rect0,1.270497
t2_c1_rect1,1.265476
t2_c2_13r3s12o,1.112809
t2_c2_2r128s1o,0.757354
t2_c2_2r16s1o,0.823627
t2_c2_2r256s1o,0.755728
t2_c2_2r2s1o,0.775340
t2_c2_2r32s1o,0.960900
t2_c2_2r4s1o,0.754093
t2_c2_2r64s1o,0.772142
t2_c2_2r8s1o,0.776004
t2_c2_3r127s1o,0.875844
t2_c2_3r16s1o,1.132968
t2_c2_3r16s2o,1.017202
t2_c2_3r2s1o,1.021666
t2_c2_3r2s1orect,1.008888
t2_c2_3r2s2o,0.769760
t2_c2_3r32s1o,0.794632
t2_c2_3r32s2o,0.636679
t2_c2_3r4s1o,0.865209
t2_c2_3r4s2o,0.642358
t2_c2_3r64s1o,1.019662
t2_c2_3r7s1o,0.793647
t2_c2_3r8s1o,0.808360
t2_c2_3r8s2o,0.637424
t2_c2_4r16s1o,0.646031
t2_c2_4r16s2o,0.796139
t2_c2_4r16s3o,0.949595
t2_c2_4r2s1o,1.005635
t2_c2_4r2s2o,1.267671
t2_c2_4r2s2omixed,1.005832
t2_c2_4r2s3o,0.658973
t2_c2_4r31s2o,0.865737
t2_c2_4r3s1o,0.915626
t2_c2_4r3s2o,0.816961
t2_c2_4r4s1o,0.691386
t2_c2_4r4s2o,1.118145
t2_c2_4r4s3o,0.998962
t2_c2_4r7s1o,1.333132
t2_c2_4r7s2o,1.161087
t2_c2_4r8s1o,0.829761
t2_c2_4r8s1operm,0.638567
t2_c2_4r8s1operm2,0.637479
t2_c2_4r8s2o,0.815738
t2_c2_4r8s3o,0.634523
t2_c2_5r15s2o,1.131992
t2_c2_5r16s1o,1.021011
t2_c2_5r16s2o,1.357702
t2_c2_5r2s1o,1.021425
t2_c2_5r2s2o,0.850740
t2_c2_5r2s3o,0.681298
t2_c2_5r2s4o,0.638380
t2_c2_5r3s1o,0.645331
t2_c2_5r3s2o,0.648840
t2_c2_5r3s3o,0.636051
t2_c2_5r3s4o,1.016500
t2_c2_5r4s1o,1.001567
t2_c2_5r4s1ostride,1.020768
t2_c2_5r4s2o,1.264615
t2_c2_5r4s2operm,0.636694
t2_c2_5r4s3o,0.653334
t2_c2_5r4s4o,0.690208
t2_c2_5r7s2o,0.856273
t2_c2_5r8s1o,0.648308
t2_c2_5r8s2o,1.061297
t2_c2_5r8s3o,1.019568
t2_c2_5r8s4o,1.021164
t2_c2_6r15s3o,1.335965
t2_c2_6r16s5o,0.964799
t2_c2_6r2s1o,0.638765
t2_c2_6r2s2o,0.685580
t2_c2_6r2s3o,0.692019
t2_c2_6r2s5o,0.845953
t2_c2_6r3s1o,0.695006
t2_c2_6r3s2o,1.019729
t2_c2_6r3s3o,1.012812
t2_c2_6r4s1o,1.020569
t2_c2_6r4s2o,1.000309
t2_c2_6r4s2ostride,0.629869
t2_c2_6r4s3o,0.637893
t2_c2_6r4s5o,0.847437
t2_c2_6r5s1o,0.636304
t2_c2_6r5s2o,0.650616
t2_c2_6r5s3o,0.683763
t2_c2_6r7s3o,1.326693
t2_c2_6r8s2o,1.012882
t2_c2_6r8s3o,0.998393
t2_c2_6r8s5o,1.161397
t2_c2_7r4s6o,0.850783
t2_c2_8r2s7o,0.874161
t2_c2_8r4s7o,0.935320
t2_c2_8r8s7o,0.870918
t2_c2_rect0,1.120776
t2_c2_rect1,1.278864
t3_c1_13r3s12o,2.594459
t3_c1_2r128s1o,0.763784
t3_c1_2r16s1o,0.820565
t3_c1_2r256s1o,1.041140
t3_c1_2r2s1o,0.815712
t3_c1_2r32s1o,1.153336
t3_c1_2r4s1o,1.215177
t3_c1_2r64s1o,1.224611
t3_c1_2r8s1o,0.997402
t3_c1_3r127s1o,2.982846
t3_c1_3r16s1o,1.203941
t3_c1_3r16s2o,1.027403
t3_c1_3r2s1o,1.044235
t3_c1_3r2s1orect,1.057573
t3_c1_3r2s2o,0.896715
t3_c1_3r32s1o,1.943228
t3_c1_3r32s2o,0.782844
t3_c1_3r4s1o,0.794814
t3_c1_3r4s2o,0.864608
t3_c1_3r64s1o,4.151355
t3_c1_3r7s1o,0.795761
t3_c1_3r8s1o,0.791470
t3_c1_3r8s2o,0.701084
t3_c1_4r16s1o,2.439508
t3_c1_4r16s2o,1.389448
t3_c1_4r16s3o,1.427557
t3_c1_4r2s1o,0.771276
t3_c1_4r2s2o,0.795884
t3_c1_4r2s2omixed,0.708121
t3_c1_4r2s3o,0.713294
t3_c1_4r31s2o,2.134040
t3_c1_4r3s1o,1.277954
t3_c1_4r3s2o,1.283284
t3_c1_4r4s1o,0.975222
t3_c1_4r4s2o,0.994989
t3_c1_4r4s3o,0.837352
t3_c1_4r7s1o,1.621656
t3_c1_4r7s2o,0.988549
t3_c1_4r8s1o,2.786390
t3_c1_4r8s1operm,2.122881
t3_c1_4r8s1operm2,1.677578
t3_c1_4r8s2o,0.863709
t3_c1_4r8s3o,0.851912
t3_c1_5r15s2o,4.290728
t3_c1_5r16s1o,3.019968
t3_c1_5r16s2o,4.223135
t3_c1_5r2s1o,0.900402
t3_c1_5r2s2o,1.051118
t3_c1_5r2s3o,0.698506
t3_c1_5r2s4o,0.709900
t3_c1_5r3s1o,0.652143
t3_c1_5r3s2o,0.696981
t3_c1_5r3s3o,1.027925
t3_c1_5r3s4o,1.034738
t3_c1_5r4s1o,1.397674
t3_c1_5r4s1ostride,0.869661
t3_c1_5r4s2o,0.831512
t3_c1_5r4s2operm,0.697198
t3_c1_5r4s3o,0.652040
t3_c1_5r4s4o,0.705816
t3_c1_5r7s2o,1.497442
t3_c1_5r8s1o,2.757880
t3_c1_5r8s2o,2.330462
t3_c1_5r8s3o,0.791062
t3_c1_5r8s4o,0.802309
t3_c1_6r15s3o,2.380757
t3_c1_6r16s5o,1.967476
t3_c1_6r2s1o,0.675502
t3_c1_6r2s2o,0.923672
t3_c1_6r2s3o,1.008940
t3_c1_6r2s5o,1.327657
t3_c1_6r3s1o,1.270772
t3_c1_6r3s2o,0.658451
t3_c1_6r3s3o,0.664439
t3_c1_6r4s1o,1.818202
t3_c1_6r4s2o,0.959898
t3_c1_6r4s2ostride,2.551099
t3_c1_6r4s3o,1.032661
t3_c1_6r4s5o,1.050183
t3_c1_6r5s1o,1.702613
t3_c1_6r5s2o,1.726966
t3_c1_6r5s3o,0.955675
t3_c1_6r7s3o,1.993005
t3_c1_6r8s2o,3.294731
t3_c1_6r8s3o,1.811553
t3_c1_6r8s5o,2.741544
t3_c1_7r4s6o,1.351320
t3_c1_8r2s7o,0.977632
t3_c1_8r4s7o,1.131830
t3_c1_8r8s7o,2.039579
t3_c1_rect0,2.952119
t3_c1_rect1,2.748379
t3_c2_13r3s12o,2.093644
t3_c2_2r128s1o,0.770163
t3_c2_2r16s1o,1.156225
t3_c2_2r256s1o,1.611985
t3_c2_2r2s1o,1.256424
t3_c2_2r32s1o,0.856923
t3_c2_2r4s1o,0.771812
t3_c2_2r64s1o,0.792710
t3_c2_2r8s1o,0.799195
t3_c2_3r127s1o,3.827917
t3_c2_3r16s1o,1.602568
t3_c2_3r16s2o,0.710688
t3_c2_3r2s1o,0.709017
t3_c2_3r2s1orect,0.726371
t3_c2_3r2s2o,0.725083
t3_c2_3r32s1o,2.413791
t3_c2_3r32s2o,1.328965
t3_c2_3r4s1o,1.271636
t3_c2_3r4s2o,0.815526
t3_c2_3r64s1o,3.045725
t3_c2_3r7s1o,0.909584
t3_c2_3r8s1o,1.245238
t3_c2_3r8s2o,1.112729
t3_c2_4r16s1o,2.542125
t3_c2_4r16s2o,0.969140
t3_c2_4r16s3o,0.968141
t3_c2_4r2s1o,0.720986
t3_c2_4r2s2o,1.040458
t3_c2_4r2s2omixed,1.123019
t3_c2_4r2s3o,1.120473
t3_c2_4r31s2o,2.289563
t3_c2_4r3s1o,0.822493
t3_c2_4r3s2o,0.869977
t3_c2_4r4s1o,0.722712
t3_c2_4r4s2o,0.871393
t3_c2_4r4s3o,1.144472
t3_c2_4r7s1o,1.988135
t3_c2_4r7s2o,1.110664
t3_c2_4r8s1o,1.909638
t3_c2_4r8s1operm,1.781380
t3_c2_4r8s1operm2,2.569604
t3_c2_4r8s2o,1.269710
t3_c2_4r8s3o,0.890595
t3_c2_5r15s2o,2.991973
t3_c2_5r16s1o,3.866354
t3_c2_5r16s2o,3.436716
t3_c2_5r2s1o,0.770799
t3_c2_5r2s2o,0.829782
t3_c2_5r2s3o,1.046391
t3_c2_5r2s4o,1.123138
t3_c2_5r3s1o,1.123399
t3_c2_5r3s2o,1.079886
t3_c2_5r3s3o,0.723888
t3_c2_5r3s4o,0.737879
t3_c2_5r4s1o,0.973607
t3_c2_5r4s1ostride,0.725666
t3_c2_5r4s2o,0.841914
t3_c2_5r4s2operm,1.091065
t3_c2_5r4s3o,1.127837
t3_c2_5r4s4o,1.120830
t3_c2_5r7s2o,1.615772
t3_c2_5r8s1o,2.408311
t3_c2_5r8s2o,2.582308
t3_c2_5r8s3o,1.328504
t3_c2_5r8s4o,1.313057
t3_c2_6r15s3o,1.928956
t3_c2_6r16s5o,2.392299
t3_c2_6r2s1o,0.766639
t3_c2_6r2s2o,0.778026
t3_c2_6r2s3o,0.768258
t3_c2_6r2s5o,1.080800
t3_c2_6r3s1o,1.168545
t3_c2_6r3s2o,1.148395
t3_c2_6r3s3o,1.110857
t3_c2_6r4s1o,2.436033
t3_c2_6r4s2o,0.964067
t3_c2_6r4s2ostride,1.903983
t3_c2_6r4s3o,1.076562
t3_c2_6r4s5o,1.352829
t3_c2_6r5s1o,2.419001
t3_c2_6r5s2o,1.904970
t3_c2_6r5s3o,0.891053
t3_c2_6r7s3o,1.650949
t3_c2_6r8s2o,2.952822
t3_c2_6r8s3o,2.505571
t3_c2_6r8s5o,2.521796
t3_c2_7r4s6o,1.073417
t3_c2_8r2s7o,0.937450
t3_c2_8r4s7o,1.231261
t3_c2_8r8s7o,2.823336
t3_c2_rect0,2.738723
t3_c2_rect1,2.287542
t3_c3_13r3s12o,2.599854
t3_c3_2r128s1o,1.165913
t3_c3_2r16s1o,1.153413
t3_c3_2r256s1o,0.979792
t3_c3_2r2s1o,0.775704
t3_c3_2r32s1o,0.791299
t3_c3_2r4s1o,0.914179
t3_c3_2r64s1o,0.928371
t3_c3_2r8s1o,0.745357
t3_c3_3r127s1o,3.125437
t3_c3_3r16s1o,1.617510
t3_c3_3r16s2o,1.118237
t3_c3_3r2s1o,1.128628
t3_c3_3r2s1orect,0.803178
t3_c3_3r2s2o,0.723143
t3_c3_3r32s1o,2.063092
t3_c3_3r32s2o,0.950101
t3_c3_3r4s1o,1.186347
t3_c3_3r4s2o,1.101269
t3_c3_3r64s1o,3.527849
t3_c3_3r7s1o,0.967011
t3_c3_3r8s1o,0.971950
t3_c3_3r8s2o,0.867310
t3_c3_4r16s1o,3.036637
t3_c3_4r16s2o,1.190453
t3_c3_4r16s3o,0.960061
t3_c3_4r2s1o,0.752940
t3_c3_4r2s2o,0.795280
t3_c3_4r2s2omixed,0.708457
t3_c3_4r2s3o,0.927797
t3_c3_4r31s2o,2.767134
t3_c3_4r3s1o,1.101919
t3_c3_4r3s2o,0.939456
t3_c3_4r4s1o,0.701739
t3_c3_4r4s2o,0.780886
t3_c3_4r4s3o,0.900835
t3_c3_4r7s1o,1.645497
t3_c3_4r7s2o,1.219370
t3_c3_4r8s1o,2.527918
t3_c3_4r8s1operm,1.898866
t3_c3_4r8s1operm2,2.049307
t3_c3_4r8s2o,1.209279
t3_c3_4r8s3o,1.129247
t3_c3_5r15s2o,3.608769
t3_c3_5r16s1o,3.524385
t3_c3_5r16s2o,3.851475
t3_c3_5r2s1o,0.758284
t3_c3_5r2s2o,0.756356
t3_c3_5r2s3o,0.760833
t3_c3_5r2s4o,0.885221
t3_c3_5r3s1o,1.135234
t3_c3_5r3s2o,1.120997
t3_c3_5r3s3o,1.125026
t3_c3_5r3s4o,0.954021
t3_c3_5r4s1o,1.216691
t3_c3_5r4s1ostride,0.760183
t3_c3_5r4s2o,0.814855
t3_c3_5r4s2operm,0.728870
t3_c3_5r4s3o,1.102925
t3_c3_5r4s4o,1.120346
t3_c3_5r7s2o,1.947675
t3_c3_5r8s1o,1.881657
t3_c3_5r8s2o,1.965303
t3_c3_5r8s3o,1.160028
t3_c3_5r8s4o,1.328204
t3_c3_6r15s3o,2.534835
t3_c3_6r16s5o,1.864422
t3_c3_6r2s1o,0.721365
t3_c3_6r2s2o,0.760706
t3_c3_6r2s3o,0.946287
t3_c3_6r2s5o,1.231319
t3_c3_6r3s1o,1.478977
t3_c3_6r3s2o,0.980302
t3_c3_6r3s3o,0.696853
t3_c3_6r4s1o,1.885241
t3_c3_6r4s2o,0.961625
t3_c3_6r4s2ostride,2.487988
t3_c3_6r4s3o,1.098231
t3_c3_6r4s5o,1.165067
t3_c3_6r5s1o,2.186493
t3_c3_6r5s2o,1.747726
t3_c3_6r5s3o,1.117412
t3_c3_6r7s3o,1.914101
t3_c3_6r8s2o,3.256066
t3_c3_6r8s3o,1.865275
t3_c3_6r8s5o,2.691476
t3_c3_7r4s6o,1.337738
t3_c3_8r2s7o,1.040016
t3_c3_8r4s7o,1.114010
t3_c3_8r8s7o,1.992643
t3_c3_rect0,3.024529
t3_c3_rect1,2.543563
