name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_tc_2r2s1o_T3_C1",7994023,113.213,113.132,ns,,,,,
"BM_tc_2r2s1o_T3_C1",7994023,125.172,125.077,ns,,,,,
"BM_tc_2r2s1o_T3_C1",7994023,125.239,125.159,ns,,,,,
"BM_tc_2r2s1o_T3_C1",7994023,125.475,125.348,ns,,,,,
"BM_tc_2r2s1o_T3_C1",7994023,103.556,103.494,ns,,,,,
"BM_tc_2r2s1o_T3_C1",7994023,87.2762,87.1956,ns,,,,,
"BM_tc_2r2s1o_T3_C1",7994023,87.2005,87.141,ns,,,,,
"BM_tc_2r2s1o_T3_C1",7994023,87.4214,87.3662,ns,,,,,
"BM_tc_2r2s1o_T3_C1",7994023,87.6874,87.5972,ns,,,,,
"BM_tc_2r2s1o_T3_C1",7994023,87.6951,87.6327,ns,,,,,
"BM_tc_2r2s1o_T3_C1_mean",10,102.993,102.914,ns,,,,,
"BM_tc_2r2s1o_T3_C1_median",10,95.6253,95.5632,ns,,,,,
"BM_tc_2r2s1o_T3_C1_stddev",10,17.6515,17.6377,ns,,,,,
"BM_tc_2r2s1o_T3_C1_cv",10,0.171385,0.171382,,,,,,
"BM_tc_2r4s1o_T3_C1",5554592,170.145,170.025,ns,,,,,
"BM_tc_2r4s1o_T3_C1",5554592,181.072,180.917,ns,,,,,
"BM_tc_2r4s1o_T3_C1",5554592,181.088,180.966,ns,,,,,
"BM_tc_2r4s1o_T3_C1",5554592,181.353,181.196,ns,,,,,
"BM_tc_2r4s1o_T3_C1",5554592,141.843,141.747,ns,,,,,
"BM_tc_2r4s1o_T3_C1",5554592,125.46,125.337,ns,,,,,
"BM_tc_2r4s1o_T3_C1",5554592,125.479,125.406,ns,,,,,
"BM_tc_2r4s1o_T3_C1",5554592,125.804,125.715,ns,,,,,
"BM_tc_2r4s1o_T3_C1",5554592,126.349,126.216,ns,,,,,
"BM_tc_2r4s1o_T3_C1",5554592,125.976,125.893,ns,,,,,
"BM_tc_2r4s1o_T3_C1_mean",10,148.457,148.342,ns,,,,,
"BM_tc_2r4s1o_T3_C1_median",10,134.096,133.981,ns,,,,,
"BM_tc_2r4s1o_T3_C1_stddev",10,26.4345,26.4141,ns,,,,,
"BM_tc_2r4s1o_T3_C1_cv",10,0.178062,0.178063,,,,,,
"BM_tc_2r8s1o_T3_C1",1150922,862.158,861.35,ns,,,,,
"BM_tc_2r8s1o_T3_C1",1150922,913.106,912.483,ns,,,,,
"BM_tc_2r8s1o_T3_C1",1150922,913.267,912.271,ns,,,,,
"BM_tc_2r8s1o_T3_C1",1150922,912.582,911.961,ns,,,,,
"BM_tc_2r8s1o_T3_C1",1150922,642.694,642.118,ns,,,,,
"BM_tc_2r8s1o_T3_C1",1150922,610.224,609.93,ns,,,,,
"BM_tc_2r8s1o_T3_C1",1150922,611.439,611.071,ns,,,,,
"BM_tc_2r8s1o_T3_C1",1150922,612.964,612.435,ns,,,,,
"BM_tc_2r8s1o_T3_C1",1150922,615.487,615.061,ns,,,,,
"BM_tc_2r8s1o_T3_C1",1150922,615.589,615.164,ns,,,,,
"BM_tc_2r8s1o_T3_C1_mean",10,730.951,730.384,ns,,,,,
"BM_tc_2r8s1o_T3_C1_median",10,629.141,628.641,ns,,,,,
"BM_tc_2r8s1o_T3_C1_stddev",10,146.755,146.586,ns,,,,,
"BM_tc_2r8s1o_T3_C1_cv",10,0.200773,0.200698,,,,,,
"BM_tc_2r16s1o_T3_C1",218749,3200.55,3198.5,ns,,,,,
"BM_tc_2r16s1o_T3_C1",218749,3208.21,3206.24,ns,,,,,
"BM_tc_2r16s1o_T3_C1",218749,3199.26,3196.18,ns,,,,,
"BM_tc_2r16s1o_T3_C1",218749,3198.37,3195.83,ns,,,,,
"BM_tc_2r16s1o_T3_C1",218749,3197.35,3194.59,ns,,,,,
"BM_tc_2r16s1o_T3_C1",218749,2579.91,2577.13,ns,,,,,
"BM_tc_2r16s1o_T3_C1",218749,2132.01,2130.68,ns,,,,,
"BM_tc_2r16s1o_T3_C1",218749,2135.79,2134.82,ns,,,,,
"BM_tc_2r16s1o_T3_C1",218749,2135.4,2134.27,ns,,,,,
"BM_tc_2r16s1o_T3_C1",218749,2133.56,2131.42,ns,,,,,
"BM_tc_2r16s1o_T3_C1_mean",10,2712.04,2709.97,ns,,,,,
"BM_tc_2r16s1o_T3_C1_median",10,2888.63,2885.86,ns,,,,,
"BM_tc_2r16s1o_T3_C1_stddev",10,532.014,531.5,ns,,,,,
"BM_tc_2r16s1o_T3_C1_cv",10,0.196167,0.196128,,,,,,
"BM_tc_2r32s1o_T3_C1",38498,18293.8,18283.9,ns,,,,,
"BM_tc_2r32s1o_T3_C1",38498,18530.8,18517.5,ns,,,,,
"BM_tc_2r32s1o_T3_C1",38498,23209.3,23186.8,ns,,,,,
"BM_tc_2r32s1o_T3_C1",38498,29316.7,29299,ns,,,,,
"BM_tc_2r32s1o_T3_C1",38498,29182.3,29155.5,ns,,,,,
"BM_tc_2r32s1o_T3_C1",38498,29266,29243.9,ns,,,,,
"BM_tc_2r32s1o_T3_C1",38498,20812.5,20792.3,ns,,,,,
"BM_tc_2r32s1o_T3_C1",38498,18265.2,18256.3,ns,,,,,
"BM_tc_2r32s1o_T3_C1",38498,18247.6,18233,ns,,,,,
"BM_tc_2r32s1o_T3_C1",38498,18357.4,18346.8,ns,,,,,
"BM_tc_2r32s1o_T3_C1_mean",10,22348.2,22331.5,ns,,,,,
"BM_tc_2r32s1o_T3_C1_median",10,19671.7,19654.9,ns,,,,,
"BM_tc_2r32s1o_T3_C1_stddev",10,5018.24,5013.4,ns,,,,,
"BM_tc_2r32s1o_T3_C1_cv",10,0.224548,0.224499,,,,,,
"BM_tc_2r64s1o_T3_C1",4397,161016,160897,ns,,,,,
"BM_tc_2r64s1o_T3_C1",4397,173035,172836,ns,,,,,
"BM_tc_2r64s1o_T3_C1",4397,256911,256725,ns,,,,,
"BM_tc_2r64s1o_T3_C1",4397,256939,256706,ns,,,,,
"BM_tc_2r64s1o_T3_C1",4397,256863,256622,ns,,,,,
"BM_tc_2r64s1o_T3_C1",4397,210119,209908,ns,,,,,
"BM_tc_2r64s1o_T3_C1",4397,159372,159267,ns,,,,,
"BM_tc_2r64s1o_T3_C1",4397,159595,159443,ns,,,,,
"BM_tc_2r64s1o_T3_C1",4397,160132,160010,ns,,,,,
"BM_tc_2r64s1o_T3_C1",4397,160982,160863,ns,,,,,
"BM_tc_2r64s1o_T3_C1_mean",10,195496,195328,ns,,,,,
"BM_tc_2r64s1o_T3_C1_median",10,167025,166866,ns,,,,,
"BM_tc_2r64s1o_T3_C1_stddev",10,45038,44995.2,ns,,,,,
"BM_tc_2r64s1o_T3_C1_cv",10,0.230378,0.230358,,,,,,
"BM_tc_3r2s1o_T3_C1",4992480,139.26,139.095,ns,,,,,
"BM_tc_3r2s1o_T3_C1",4992480,180.615,180.49,ns,,,,,
"BM_tc_3r2s1o_T3_C1",4992480,192.741,192.51,ns,,,,,
"BM_tc_3r2s1o_T3_C1",4992480,192.605,192.473,ns,,,,,
"BM_tc_3r2s1o_T3_C1",4992480,192.382,192.182,ns,,,,,
"BM_tc_3r2s1o_T3_C1",4992480,166.101,165.993,ns,,,,,
"BM_tc_3r2s1o_T3_C1",4992480,138.936,138.843,ns,,,,,
"BM_tc_3r2s1o_T3_C1",4992480,139.067,138.903,ns,,,,,
"BM_tc_3r2s1o_T3_C1",4992480,139.072,138.984,ns,,,,,
"BM_tc_3r2s1o_T3_C1",4992480,139.422,139.323,ns,,,,,
