name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_tc_2r2s1o_T3_C2",5968923448,0.113392,0.11332,ns,,,,,
"BM_tc_2r2s1o_T3_C2",5968923448,0.167673,0.167558,ns,,,,,
"BM_tc_2r2s1o_T3_C2",5968923448,0.193039,0.192891,ns,,,,,
"BM_tc_2r2s1o_T3_C2",5968923448,0.193106,0.192895,ns,,,,,
"BM_tc_2r2s1o_T3_C2",5968923448,0.187329,0.187182,ns,,,,,
"BM_tc_2r2s1o_T3_C2",5968923448,0.112295,0.112209,ns,,,,,
"BM_tc_2r2s1o_T3_C2",5968923448,0.113898,0.113816,ns,,,,,
"BM_tc_2r2s1o_T3_C2",5968923448,0.114295,0.114211,ns,,,,,
"BM_tc_2r2s1o_T3_C2",5968923448,0.114789,0.114655,ns,,,,,
"BM_tc_2r2s1o_T3_C2",5968923448,0.115559,0.115484,ns,,,,,
"BM_tc_2r2s1o_T3_C2_mean",10,0.142538,0.142422,ns,,,,,
"BM_tc_2r2s1o_T3_C2_median",10,0.115174,0.11507,ns,,,,,
"BM_tc_2r2s1o_T3_C2_stddev",10,0.0374544,0.0374173,ns,,,,,
"BM_tc_2r2s1o_T3_C2_cv",10,0.262768,0.262721,,,,,,
"BM_tc_2r4s1o_T3_C2",6166863467,0.131097,0.131007,ns,,,,,
"BM_tc_2r4s1o_T3_C2",6166863467,0.193248,0.193039,ns,,,,,
"BM_tc_2r4s1o_T3_C2",6166863467,0.193081,0.192905,ns,,,,,
"BM_tc_2r4s1o_T3_C2",6166863467,0.193021,0.192883,ns,,,,,
"BM_tc_2r4s1o_T3_C2",6166863467,0.133837,0.133732,ns,,,,,
"BM_tc_2r4s1o_T3_C2",6166863467,0.113476,0.113398,ns,,,,,
"BM_tc_2r4s1o_T3_C2",6166863467,0.113387,0.113315,ns,,,,,
"BM_tc_2r4s1o_T3_C2",6166863467,0.114422,0.11432,ns,,,,,
"BM_tc_2r4s1o_T3_C2",6166863467,0.115726,0.115655,ns,,,,,
"BM_tc_2r4s1o_T3_C2",6166863467,0.113131,0.113059,ns,,,,,
"BM_tc_2r4s1o_T3_C2_mean",10,0.141443,0.141331,ns,,,,,
"BM_tc_2r4s1o_T3_C2_median",10,0.123412,0.123331,ns,,,,,
"BM_tc_2r4s1o_T3_C2_stddev",10,0.0364201,0.0363758,ns,,,,,
"BM_tc_2r4s1o_T3_C2_cv",10,0.25749,0.25738,,,,,,
"BM_tc_2r8s1o_T3_C2",35974676,23.5502,23.5288,ns,,,,,
"BM_tc_2r8s1o_T3_C2",35974676,23.5421,23.5269,ns,,,,,
"BM_tc_2r8s1o_T3_C2",35974676,23.5546,23.5318,ns,,,,,
