name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_tc_2r2s1o_T2_C2",33202860,20.8851,20.8674,ns,,,,,
"BM_tc_2r2s1o_T2_C2",33202860,21.1265,21.1071,ns,,,,,
"BM_tc_2r2s1o_T2_C2",33202860,29.2425,29.2245,ns,,,,,
"BM_tc_2r2s1o_T2_C2",33202860,29.2676,29.2375,ns,,,,,
"BM_tc_2r2s1o_T2_C2",33202860,29.3778,29.3558,ns,,,,,
"BM_tc_2r2s1o_T2_C2",33202860,29.0934,29.0609,ns,,,,,
"BM_tc_2r2s1o_T2_C2",33202860,22.5327,22.5145,ns,,,,,
"BM_tc_2r2s1o_T2_C2",33202860,20.7809,20.7636,ns,,,,,
"BM_tc_2r2s1o_T2_C2",33202860,20.7543,20.7345,ns,,,,,
"BM_tc_2r2s1o_T2_C2",33202860,20.7905,20.7762,ns,,,,,
"BM_tc_2r2s1o_T2_C2_mean",10,24.3851,24.3642,ns,,,,,
"BM_tc_2r2s1o_T2_C2_median",10,21.8296,21.8108,ns,,,,,
"BM_tc_2r2s1o_T2_C2_stddev",10,4.21536,4.21132,ns,,,,,
"BM_tc_2r2s1o_T2_C2_cv",10,0.172866,0.172849,,,,,,
"BM_tc_2r4s1o_T2_C2",8464632,83.5592,83.4738,ns,,,,,
"BM_tc_2r4s1o_T2_C2",8464632,82.8345,82.7829,ns,,,,,
"BM_tc_2r4s1o_T2_C2",8464632,113.549,113.466,ns,,,,,
"BM_tc_2r4s1o_T2_C2",8464632,116.83,116.723,ns,,,,,
"BM_tc_2r4s1o_T2_C2",8464632,116.935,116.856,ns,,,,,
"BM_tc_2r4s1o_T2_C2",8464632,116.737,116.6,ns,,,,,
"BM_tc_2r4s1o_T2_C2",8464632,91.4326,91.3758,ns,,,,,
"BM_tc_2r4s1o_T2_C2",8464632,82.7521,82.6667,ns,,,,,
"BM_tc_2r4s1o_T2_C2",8464632,82.7386,82.6887,ns,,,,,
