name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_tc_2r2s1o_T2_C1",5866200,119.629,119.542,ns,,,,,
"BM_tc_2r2s1o_T2_C1",5866200,119.424,119.329,ns,,,,,
"BM_tc_2r2s1o_T2_C1",5866200,142.8,142.699,ns,,,,,
"BM_tc_2r2s1o_T2_C1",5866200,169.273,169.158,ns,,,,,
"BM_tc_2r2s1o_T2_C1",5866200,170.007,169.853,ns,,,,,
"BM_tc_2r2s1o_T2_C1",5866200,169.616,169.49,ns,,,,,
"BM_tc_2r2s1o_T2_C1",5866200,153.174,153.014,ns,,,,,
"BM_tc_2r2s1o_T2_C1",5866200,118.375,118.297,ns,,,,,
"BM_tc_2r2s1o_T2_C1",5866200,118.998,118.884,ns,,,,,
"BM_tc_2r2s1o_T2_C1",5866200,118.92,118.833,ns,,,,,
"BM_tc_2r2s1o_T2_C1_mean",10,140.022,139.91,ns,,,,,
"BM_tc_2r2s1o_T2_C1_median",10,131.215,131.12,ns,,,,,
"BM_tc_2r2s1o_T2_C1_stddev",10,23.5871,23.5665,ns,,,,,
"BM_tc_2r2s1o_T2_C1_cv",10,0.168453,0.168441,,,,,,
"BM_tc_2r4s1o_T2_C1",2899408,243.298,243.036,ns,,,,,
"BM_tc_2r4s1o_T2_C1",2899408,241.995,241.823,ns,,,,,
"BM_tc_2r4s1o_T2_C1",2899408,319.451,319.203,ns,,,,,
"BM_tc_2r4s1o_T2_C1",2899408,344.735,344.443,ns,,,,,
"BM_tc_2r4s1o_T2_C1",2899408,344.413,344.161,ns,,,,,
"BM_tc_2r4s1o_T2_C1",2899408,344.95,344.516,ns,,,,,
"BM_tc_2r4s1o_T2_C1",2899408,279.018,278.826,ns,,,,,
"BM_tc_2r4s1o_T2_C1",2899408,241.551,241.369,ns,,,,,
"BM_tc_2r4s1o_T2_C1",2899408,241.575,241.342,ns,,,,,
"BM_tc_2r4s1o_T2_C1",2899408,242.299,242.123,ns,,,,,
"BM_tc_2r4s1o_T2_C1_mean",10,284.328,284.084,ns,,,,,
"BM_tc_2r4s1o_T2_C1_median",10,261.158,260.931,ns,,,,,
"BM_tc_2r4s1o_T2_C1_stddev",10,48.4145,48.3604,ns,,,,,
"BM_tc_2r4s1o_T2_C1_cv",10,0.170277,0.170233,,,,,,
"BM_tc_2r8s1o_T2_C1",634824,1111.21,1110.03,ns,,,,,
"BM_tc_2r8s1o_T2_C1",634824,1105.31,1104.51,ns,,,,,
"BM_tc_2r8s1o_T2_C1",634824,1514.68,1513.56,ns,,,,,
"BM_tc_2r8s1o_T2_C1",634824,1580.98,1579.64,ns,,,,,
"BM_tc_2r8s1o_T2_C1",634824,1581.81,1580.75,ns,,,,,
"BM_tc_2r8s1o_T2_C1",634824,1583.03,1581.5,ns,,,,,
"BM_tc_2r8s1o_T2_C1",634824,1215.78,1214.92,ns,,,,,
"BM_tc_2r8s1o_T2_C1",634824,1099.33,1098.33,ns,,,,,
"BM_tc_2r8s1o_T2_C1",634824,1100.19,1099.46,ns,,,,,
"BM_tc_2r8s1o_T2_C1",634824,1103.49,1102.66,ns,,,,,
"BM_tc_2r8s1o_T2_C1_mean",10,1299.58,1298.54,ns,,,,,
"BM_tc_2r8s1o_T2_C1_median",10,1163.49,1162.48,ns,,,,,
"BM_tc_2r8s1o_T2_C1_stddev",10,231.902,231.713,ns,,,,,
"BM_tc_2r8s1o_T2_C1_cv",10,0.178444,0.178442,,,,,,
"BM_tc_2r16s1o_T2_C1",76549,9169.26,9160.69,ns,,,,,
"BM_tc_2r16s1o_T2_C1",76549,9145.22,9139.98,ns,,,,,
"BM_tc_2r16s1o_T2_C1",76549,13433.4,13421.5,ns,,,,,
"BM_tc_2r16s1o_T2_C1",76549,13588.8,13579.2,ns,,,,,
"BM_tc_2r16s1o_T2_C1",76549,13583.7,13570.6,ns,,,,,
"BM_tc_2r16s1o_T2_C1",76549,13743,13731.8,ns,,,,,
"BM_tc_2r16s1o_T2_C1",76549,9107.08,9099.21,ns,,,,,
"BM_tc_2r16s1o_T2_C1",76549,9112.6,9107.67,ns,,,,,
"BM_tc_2r16s1o_T2_C1",76549,9074.41,9069.33,ns,,,,,
"BM_tc_2r16s1o_T2_C1",76549,9153.92,9146.67,ns,,,,,
"BM_tc_2r16s1o_T2_C1_mean",10,10911.1,10902.7,ns,,,,,
"BM_tc_2r16s1o_T2_C1_median",10,9161.59,9153.68,ns,,,,,
"BM_tc_2r16s1o_T2_C1_stddev",10,2304.51,2301.94,ns,,,,,
"BM_tc_2r16s1o_T2_C1_cv",10,0.211207,0.211136,,,,,,
"BM_tc_2r32s1o_T2_C1",7959,88728.7,88668.5,ns,,,,,
"BM_tc_2r32s1o_T2_C1",7959,96393.6,96294.3,ns,,,,,
"BM_tc_2r32s1o_T2_C1",7959,135364,135256,ns,,,,,
"BM_tc_2r32s1o_T2_C1",7959,136094,135996,ns,,,,,
"BM_tc_2r32s1o_T2_C1",7959,135339,135206,ns,,,,,
"BM_tc_2r32s1o_T2_C1",7959,117146,117064,ns,,,,,
"BM_tc_2r32s1o_T2_C1",7959,87167,87090.8,ns,,,,,
"BM_tc_2r32s1o_T2_C1",7959,86623.5,86567.1,ns,,,,,
"BM_tc_2r32s1o_T2_C1",7959,85429.4,85357.5,ns,,,,,
"BM_tc_2r32s1o_T2_C1",7959,87341.2,87295.6,ns,,,,,
"BM_tc_2r32s1o_T2_C1_mean",10,105563,105480,ns,,,,,
"BM_tc_2r32s1o_T2_C1_median",10,92561.2,92481.4,ns,,,,,
"BM_tc_2r32s1o_T2_C1_stddev",10,22713.3,22691.4,ns,,,,,
"BM_tc_2r32s1o_T2_C1_cv",10,0.215164,0.215126,,,,,,
"BM_tc_2r64s1o_T2_C1",1386,500494,500118,ns,,,,,
"BM_tc_2r64s1o_T2_C1",1386,598409,597626,ns,,,,,
"BM_tc_2r64s1o_T2_C1",1386,742832,742295,ns,,,,,
"BM_tc_2r64s1o_T2_C1",1386,750798,750087,ns,,,,,
"BM_tc_2r64s1o_T2_C1",1386,753374,752752,ns,,,,,
"BM_tc_2r64s1o_T2_C1",1386,632379,631793,ns,,,,,
"BM_tc_2r64s1o_T2_C1",1386,493918,493604,ns,,,,,
"BM_tc_2r64s1o_T2_C1",1386,496368,496045,ns,,,,,
"BM_tc_2r64s1o_T2_C1",1386,501921,501444,ns,,,,,
"BM_tc_2r64s1o_T2_C1",1386,486495,486146,ns,,,,,
