name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_tc_2r2s1o_T3_C3",5903011248,0.114492,0.114425,ns,,,,,
"BM_tc_2r2s1o_T3_C3",5903011248,0.14803,0.147932,ns,,,,,
"BM_tc_2r2s1o_T3_C3",5903011248,0.193077,0.192936,ns,,,,,
"BM_tc_2r2s1o_T3_C3",5903011248,0.193106,0.192944,ns,,,,,
"BM_tc_2r2s1o_T3_C3",5903011248,0.193011,0.19286,ns,,,,,
"BM_tc_2r2s1o_T3_C3",5903011248,0.129762,0.129654,ns,,,,,
"BM_tc_2r2s1o_T3_C3",5903011248,0.11344,0.113366,ns,,,,,
"BM_tc_2r2s1o_T3_C3",5903011248,0.113853,0.11378,ns,,,,,
"BM_tc_2r2s1o_T3_C3",5903011248,0.113839,0.113736,ns,,,,,
"BM_tc_2r2s1o_T3_C3",5903011248,0.116819,0.116704,ns,,,,,
"BM_tc_2r2s1o_T3_C3_mean",10,0.142943,0.142834,ns,,,,,
"BM_tc_2r2s1o_T3_C3_median",10,0.12329,0.123179,ns,,,,,
"BM_tc_2r2s1o_T3_C3_stddev",10,0.0361966,0.036167,ns,,,,,
"BM_tc_2r2s1o_T3_C3_cv",10,0.253224,0.25321,,,,,,
"BM_tc_2r4s1o_T3_C3",6173825304,0.113784,0.113719,ns,,,,,
"BM_tc_2r4s1o_T3_C3",6173825304,0.185029,0.184859,ns,,,,,
"BM_tc_2r4s1o_T3_C3",6173825304,0.192972,0.192846,ns,,,,,
"BM_tc_2r4s1o_T3_C3",6173825304,0.193147,0.192973,ns,,,,,
"BM_tc_2r4s1o_T3_C3",6173825304,0.160491,0.16034,ns,,,,,
"BM_tc_2r4s1o_T3_C3",6173825304,0.113489,0.113419,ns,,,,,
"BM_tc_2r4s1o_T3_C3",6173825304,0.113749,0.113685,ns,,,,,
"BM_tc_2r4s1o_T3_C3",6173825304,0.11512,0.115021,ns,,,,,
"BM_tc_2r4s1o_T3_C3",6173825304,0.115251,0.115173,ns,,,,,
"BM_tc_2r4s1o_T3_C3",6173825304,0.114339,0.114276,ns,,,,,
"BM_tc_2r4s1o_T3_C3_mean",10,0.141737,0.141631,ns,,,,,
"BM_tc_2r4s1o_T3_C3_median",10,0.115185,0.115097,ns,,,,,
"BM_tc_2r4s1o_T3_C3_stddev",10,0.0365411,0.0364996,ns,,,,,
"BM_tc_2r4s1o_T3_C3_cv",10,0.257809,0.257709,,,,,,
"BM_tc_2r8s1o_T3_C3",42392236,22.2389,22.2174,ns,,,,,
"BM_tc_2r8s1o_T3_C3",42392236,23.539,23.5247,ns,,,,,
"BM_tc_2r8s1o_T3_C3",42392236,23.5568,23.5349,ns,,,,,
"BM_tc_2r8s1o_T3_C3",42392236,23.5564,23.5339,ns,,,,,
"BM_tc_2r8s1o_T3_C3",42392236,18.6387,18.6246,ns,,,,,
"BM_tc_2r8s1o_T3_C3",42392236,16.4284,16.4189,ns,,,,,
"BM_tc_2r8s1o_T3_C3",42392236,16.4258,16.4159,ns,,,,,
"BM_tc_2r8s1o_T3_C3",42392236,16.4755,16.4599,ns,,,,,
"BM_tc_2r8s1o_T3_C3",42392236,16.4834,16.4722,ns,,,,,
"BM_tc_2r8s1o_T3_C3",42392236,16.467,16.4519,ns,,,,,
"BM_tc_2r8s1o_T3_C3_mean",10,19.381,19.3655,ns,,,,,
"BM_tc_2r8s1o_T3_C3_median",10,17.561,17.5484,ns,,,,,
"BM_tc_2r8s1o_T3_C3_stddev",10,3.39378,3.38996,ns,,,,,
"BM_tc_2r8s1o_T3_C3_cv",10,0.175109,0.175052,,,,,,
"BM_tc_2r16s1o_T3_C3",4915980,199.175,199.036,ns,,,,,
"BM_tc_2r16s1o_T3_C3",4915980,202.908,202.733,ns,,,,,
"BM_tc_2r16s1o_T3_C3",4915980,202.865,202.726,ns,,,,,
"BM_tc_2r16s1o_T3_C3",4915980,202.99,202.788,ns,,,,,
"BM_tc_2r16s1o_T3_C3",4915980,153.27,153.165,ns,,,,,
"BM_tc_2r16s1o_T3_C3",4915980,141.573,141.485,ns,,,,,
"BM_tc_2r16s1o_T3_C3",4915980,141.54,141.417,ns,,,,,
"BM_tc_2r16s1o_T3_C3",4915980,141.846,141.76,ns,,,,,
"BM_tc_2r16s1o_T3_C3",4915980,142.025,141.923,ns,,,,,
"BM_tc_2r16s1o_T3_C3",4915980,141.998,141.872,ns,,,,,
"BM_tc_2r16s1o_T3_C3_mean",10,167.019,166.891,ns,,,,,
"BM_tc_2r16s1o_T3_C3_median",10,147.647,147.544,ns,,,,,
"BM_tc_2r16s1o_T3_C3_stddev",10,30.3151,30.2844,ns,,,,,
"BM_tc_2r16s1o_T3_C3_cv",10,0.181507,0.181463,,,,,,
"BM_tc_2r32s1o_T3_C3",219841,3599.74,3597.49,ns,,,,,
"BM_tc_2r32s1o_T3_C3",219841,3602.83,3599.36,ns,,,,,
"BM_tc_2r32s1o_T3_C3",219841,3601.27,3598.92,ns,,,,,
"BM_tc_2r32s1o_T3_C3",219841,3599.57,3596.84,ns,,,,,
"BM_tc_2r32s1o_T3_C3",219841,3542.28,3538.5,ns,,,,,
"BM_tc_2r32s1o_T3_C3",219841,2430.05,2428.79,ns,,,,,
"BM_tc_2r32s1o_T3_C3",219841,2466.05,2464.65,ns,,,,,
"BM_tc_2r32s1o_T3_C3",219841,2463.41,2460.69,ns,,,,,
"BM_tc_2r32s1o_T3_C3",219841,2467.07,2465.37,ns,,,,,
"BM_tc_2r32s1o_T3_C3",219841,2465.71,2464.31,ns,,,,,
"BM_tc_2r32s1o_T3_C3_mean",10,3023.8,3021.49,ns,,,,,
"BM_tc_2r32s1o_T3_C3_median",10,3004.67,3001.93,ns,,,,,
"BM_tc_2r32s1o_T3_C3_stddev",10,596.272,595.636,ns,,,,,
"BM_tc_2r32s1o_T3_C3_cv",10,0.197193,0.197133,,,,,,
"BM_tc_2r64s1o_T3_C3",30584,23111.8,23087.8,ns,,,,,
"BM_tc_2r64s1o_T3_C3",30584,27157.5,27138.1,ns,,,,,
"BM_tc_2r64s1o_T3_C3",30584,34252.8,34223.2,ns,,,,,
"BM_tc_2r64s1o_T3_C3",30584,34276.6,34252.2,ns,,,,,
"BM_tc_2r64s1o_T3_C3",30584,34277.3,34243.5,ns,,,,,
"BM_tc_2r64s1o_T3_C3",30584,29354.1,29334.5,ns,,,,,
"BM_tc_2r64s1o_T3_C3",30584,22929.8,22915.1,ns,,,,,
"BM_tc_2r64s1o_T3_C3",30584,23057.3,23029,ns,,,,,
"BM_tc_2r64s1o_T3_C3",30584,23037.3,23022.1,ns,,,,,
"BM_tc_2r64s1o_T3_C3",30584,23102,23077.8,ns,,,,,
"BM_tc_2r64s1o_T3_C3_mean",10,27455.7,27432.3,ns,,,,,
"BM_tc_2r64s1o_T3_C3_median",10,25134.6,25112.9,ns,,,,,
"BM_tc_2r64s1o_T3_C3_stddev",10,5165.37,5161.87,ns,,,,,
"BM_tc_2r64s1o_T3_C3_cv",10,0.188135,0.188168,,,,,,
