name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_tc_2r64s1o_T1_C1",311,2.96561e+06,2.96278e+06,ns,,,,,
"BM_tc_2r64s1o_T1_C1",311,2.9648e+06,2.96232e+06,ns,,,,,
"BM_tc_2r64s1o_T1_C1",311,2.40715e+06,2.40528e+06,ns,,,,,
"BM_tc_2r64s1o_T1_C1_mean",10,2.57471e+06,2.57245e+06,ns,,,,,
"BM_tc_2r64s1o_T1_C1_median",10,2.41815e+06,2.41619e+06,ns,,,,,
"BM_tc_2r64s1o_T1_C1_stddev",10,341293,341054,ns,,,,,
"BM_tc_2r64s1o_T1_C1_cv",10,0.132556,0.132579,,,,,,
"BM_tc_3r2s1o_T1_C1",1043785,662.806,662.382,ns,,,,,
"BM_tc_3r2s1o_T1_C1",1043785,662.588,662.146,ns,,,,,
"BM_tc_3r2s1o_T1_C1",1043785,664.96,664.346,ns,,,,,
"BM_tc_3r2s1o_T1_C1",1043785,665.259,664.737,ns,,,,,
"BM_tc_3r2s1o_T1_C1",1043785,663.598,663.142,ns,,,,,
"BM_tc_3r2s1o_T1_C1",1043785,841.433,840.623,ns,,,,,
"BM_tc_3r2s1o_T1_C1",1043785,866.894,866.307,ns,,,,,
"BM_tc_3r2s1o_T1_C1",1043785,868.15,867.32,ns,,,,,
"BM_tc_3r2s1o_T1_C1",1043785,868.292,867.614,ns,,,,,
"BM_tc_3r2s1o_T1_C1",1043785,802.495,801.967,ns,,,,,
"BM_tc_3r2s1o_T1_C1_mean",10,756.647,756.059,ns,,,,,
"BM_tc_3r2s1o_T1_C1_median",10,733.877,733.352,ns,,,,,
"BM_tc_3r2s1o_T1_C1_stddev",10,99.673,99.5637,ns,,,,,
"BM_tc_3r2s1o_T1_C1_cv",10,0.13173,0.131688,,,,,,
"BM_tc_3r4s1o_T1_C1",54651,12881.6,12872.9,ns,,,,,
"BM_tc_3r4s1o_T1_C1",54651,12826.9,12814.8,ns,,,,,
"BM_tc_3r4s1o_T1_C1",54651,12847.7,12837.4,ns,,,,,
"BM_tc_3r4s1o_T1_C1",54651,12854.3,12843.6,ns,,,,,
"BM_tc_3r4s1o_T1_C1",54651,12875.9,12867,ns,,,,,
"BM_tc_3r4s1o_T1_C1",54651,15221.5,15205.7,ns,,,,,
"BM_tc_3r4s1o_T1_C1",54651,16929.4,16918.2,ns,,,,,
"BM_tc_3r4s1o_T1_C1",54651,16893.6,16873.2,ns,,,,,
"BM_tc_3r4s1o_T1_C1",54651,16950.8,16937.2,ns,,,,,
"BM_tc_3r4s1o_T1_C1",54651,16493.6,16474,ns,,,,,
"BM_tc_3r4s1o_T1_C1_mean",10,14677.5,14664.4,ns,,,,,
"BM_tc_3r4s1o_T1_C1_median",10,14051.6,14039.3,ns,,,,,
"BM_tc_3r4s1o_T1_C1_stddev",10,1980.79,1977.83,ns,,,,,
"BM_tc_3r4s1o_T1_C1_cv",10,0.134954,0.134873,,,,,,
"BM_tc_3r8s1o_T1_C1",2152,330130,329895,ns,,,,,
"BM_tc_3r8s1o_T1_C1",2152,332671,332405,ns,,,,,
"BM_tc_3r8s1o_T1_C1",2152,333841,333450,ns,,,,,
"BM_tc_3r8s1o_T1_C1",2152,330824,330513,ns,,,,,
"BM_tc_3r8s1o_T1_C1",2152,330197,329867,ns,,,,,
"BM_tc_3r8s1o_T1_C1",2152,410326,410014,ns,,,,,
"BM_tc_3r8s1o_T1_C1",2152,436028,435724,ns,,,,,
"BM_tc_3r8s1o_T1_C1",2152,435322,434908,ns,,,,,
"BM_tc_3r8s1o_T1_C1",2152,434652,434296,ns,,,,,
"BM_tc_3r8s1o_T1_C1",2152,396176,395786,ns,,,,,
"BM_tc_3r8s1o_T1_C1_mean",10,377017,376686,ns,,,,,
"BM_tc_3r8s1o_T1_C1_median",10,365009,364618,ns,,,,,
"BM_tc_3r8s1o_T1_C1_stddev",10,49480.9,49456.1,ns,,,,,
"BM_tc_3r8s1o_T1_C1_cv",10,0.131243,0.131293,,,,,,
"BM_tc_3r16s1o_T1_C1",70,9.9966e+06,9.98972e+06,ns,,,,,
"BM_tc_3r16s1o_T1_C1",70,1.00983e+07,1.00874e+07,ns,,,,,
"BM_tc_3r16s1o_T1_C1",70,1.00603e+07,1.00515e+07,ns,,,,,
"BM_tc_3r16s1o_T1_C1",70,1.00423e+07,1.00339e+07,ns,,,,,
"BM_tc_3r16s1o_T1_C1",70,1.00728e+07,1.00614e+07,ns,,,,,
